
当前session使用pga的情况(占用pga内存最多前10条数据)

   INST_ID        SID    SERIAL#           SPID           PGA_USED_MEM PGA_ALLOC_MEM PGA_FREEABLE_MEM PGA_MAX_MEM STATUS   SQL_ID           USERNAME                         PROGRAM                                                  MACHINE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
---------- ---------- ---------- ------------------------ ------------ ------------- ---------------- ----------- -------- ------------- --------------- ------------------------------------------------ ----------------------------------------------------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
         1         12      26310 1640                                7            21               13          21 ACTIVE                                 ORACLE.EXE (DBW0)                                DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
         1         19      29226 528                                 3            13               10          15 ACTIVE   cgtc5gb7c4g07                 ORACLE.EXE (MMON)                                DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
         1         31      22802 1252                                2            10                7          10 ACTIVE   fnq8p3fj3r5as                 ORACLE.EXE (CJQ0)                                DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
         1         25      32494 292                                 2             7                5           7 ACTIVE   0kkhhb2w93cx0                 ORACLE.EXE (W000)                                DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
         1         27      13299 1860                                2             7                5           7 ACTIVE   0kkhhb2w93cx0                 ORACLE.EXE (W001)                                DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
         1         41      60587 2624                                1             7                5           7 ACTIVE   6y55dxn24t86q                 ORACLE.EXE (W002)                                DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
         1         60      11939 2964                                1             6                5           6 ACTIVE   0kkhhb2w93cx0                 ORACLE.EXE (W003)                                DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
         1         55      45899 164                                 2             5                0          13 INACTIVE 9m7787camwh4m DBA_DLT         plsqldev.exe                                     WORKGROUP\DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
         1         70      39529 3568                                3             5                1          24 INACTIVE 9m7787camwh4m MED2            plsqldev.exe                                     WORKGROUP\DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
         1         52      62097 3636                                3             4                0          11 ACTIVE   108y6xy4fs6dp DBA_DLT         sqlplus.exe                                      WORKGROUP\DENGLT-PC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
